;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
0;abstractMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
1;anonymousClassesQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
2;assignmentsQty;3.707516221126395;4.862351548630007;2.0;0.0;4.0;11.0;(-3.980536617932502, 11.395569060185291)
3;cbo;6.469338178043083;5.632936483443857;5.0;0.0;9.0;15.0;(-2.437116423327888, 15.375792779414054)
4;comparisonsQty;0.3526031663638723;0.7853810259289903;0.0;0.0;0.0;1.0;(-0.8891932701438121, 1.5943996028715566)
5;defaultFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
6;defaultMethodsQty;0.1263483000259538;0.33224148914081364;0.0;0.0;0.0;1.0;(-0.39897161941958137, 0.6516682194714889)
7;dit;1.393418115753958;0.6601876042689662;1.0;1.0;1.0;2.0;(0.34956985950404085, 2.437266372003875)
8;fanin;1.0397923695821438;1.5651621082482803;0.0;0.0;1.0;3.0;(-1.4349462151456462, 3.514530954309934)
9;fanout;4.4224188943680245;4.028875127452367;3.0;0.0;6.0;11.0;(-1.9477920112073024, 10.792629799943352)
10;finalFieldsQty;0.42621334025434726;0.7642329651881539;0.0;0.0;0.0;2.0;(-0.7821450762350217, 1.6345717567437164)
11;finalMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
12;innerClassesQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
13;lambdasQty;0.005611212042564236;0.07469756583703124;0.0;0.0;0.0;0.0;(-0.11249600981513609, 0.12371843390026456)
14;lcc;0.3195743783692247;0.3853740369510908;0.1;0.0;0.5;1.0;(-0.2897554755604443, 0.9289042322988936)
15;lcom;0.17759465178911207;0.26640822172862466;0.0;0.0;0.2857143;0.6607143;(-0.24363373223969495, 0.5988230358179191)
16;loc;26.286929665195952;25.002989532014098;16.0;5.0;30.0;65.0;(-13.246267952060062, 65.82012728245196)
17;logStatementsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
18;loopQty;0.09186607838048275;0.28883680863676936;0.0;0.0;0.0;0.0;(-0.3648250153127097, 0.5485571720736753)
19;mathOperationsQty;0.269052686218531;0.6188877279474607;0.0;0.0;0.0;1.0;(-0.7094947319017793, 1.2476001043388414)
20;maxNestedBlocksQty;0.5111808980015572;0.7155403612253182;0.0;0.0;1.0;2.0;(-0.620187751624261, 1.6425495476273753)
21;modifiers;3.4648670819554463;4.548245425317045;1.0;1.0;1.0;10.0;(-3.726540368766115, 10.656274532677008)
22;noc;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
23;nosi;1.1795899299247339;1.925245219302802;0.0;0.0;1.0;4.0;(-1.864490043748878, 4.223669903598346)
24;numbersQty;0.9143939787178822;1.705255438199671;0.0;0.0;1.0;3.0;(-1.7818516098318478, 3.6106395672676124)
25;parenthesizedExpsQty;0.04037892551258759;0.19684630524100905;0.0;0.0;0.0;0.0;(-0.27086241126257676, 0.35162026228775195)
26;privateFieldsQty;0.6144666493641319;0.9925135844951093;0.0;0.0;1.0;2.0;(-0.9548351184671308, 2.1837684171953944)
27;privateMethodsQty;0.1118297430573579;0.31515686828162764;0.0;0.0;0.0;1.0;(-0.38647701895045194, 0.6101365050651677)
28;protectedFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
29;protectedMethodsQty;0.05207889955878536;0.2221861556882681;0.0;0.0;0.0;0.0;(-0.2992282587070665, 0.4033860578246372)
30;publicFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
31;publicMethodsQty;2.2725564495198545;2.0910380693243424;2.0;1.0;3.0;6.0;(-1.0336650370731393, 5.578777936112848)
32;returnQty;1.5678017129509474;1.918918170576719;1.0;0.0;2.0;5.0;(-1.4662743183020197, 4.6018777442039145)
33;rfc;6.216698676356086;7.100112580252613;3.0;0.0;8.0;18.0;(-5.009565022250569, 17.44296237496274)
34;staticFieldsQty;0.10987801712950947;0.3127376512049624;0.0;0.0;0.0;1.0;(-0.38460362681998217, 0.6043596610790011)
35;staticMethodsQty;0.04618738645211524;0.20989071390806738;0.0;0.0;0.0;0.0;(-0.2856789713820218, 0.37805374428625227)
36;stringLiteralsQty;2.104339475733195;3.251127435020862;1.0;0.0;2.0;7.0;(-3.0361443533303034, 7.244823304796693)
37;synchronizedFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
38;synchronizedMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
39;tcc;0.2580641636035762;0.32853899427267186;0.09090909;0.0;0.33333334;0.8333333;(-0.2614015974377525, 0.7775299246449049)
40;totalFieldsQty;0.972753698416818;1.3099669514041319;0.0;0.0;1.0;3.0;(-1.0984859145752637, 3.0439933114089)
41;totalMethodsQty;3.434072151570205;2.725747075792097;2.0;1.0;4.0;8.0;(-0.8757123909531126, 7.743856694093522)
42;tryCatchQty;0.05204775499610693;0.22212335806027278;0.0;0.0;0.0;0.0;(-0.29916011150168437, 0.4032556214938982)
43;uniqueWordsQty;30.438406436542955;22.505656425516676;24.0;7.0;38.0;66.0;(-5.146160834375209, 66.02297370746112)
44;variablesQty;3.4066908902154167;4.295773292776918;2.0;0.0;4.0;10.0;(-3.385523068232787, 10.19890484866362)
45;wmc;5.197700493122243;4.875994142250173;3.0;1.0;6.0;13.0;(-2.511923180452558, 12.907324166697045)
